ItemId,DEL_PRODUCT,StructureId,APDivision,APLabel,APMerchDivision,APClass,APSubClass,ProductCategoryCode,ProductCategoryDesc,ProductClassCode,ProductClassDesc,ProductSubclassCode,ProductSubclassDesc,MerchDivisionCode,MerchDivisionDesc,ColorFamily,USBoardNumber,MerchOrganizationDesc,MSSP,FactoryCost,APSeasonYear,APSeason,APYear,APItemDescription,RetailTypeId,EventId,USSizeOffering
MAXGBGS0H820004,0,MA,MA,XG,0,BGS,H8,BG,BAGS,FOL,FOLIO,MED,MEDIUM,453,M RLX GOLF LIC ACC,GREY,RLZ010GY,ACCESSORIES,NULL,0,NOS2023,NOS,2023,CART POUCH-FOLIO-MEDIUM POLYESTER,SINGLE PRICE,FULLPRICE,ONE SIZE
MAXGBGS0H820005,0,MA,MA,XG,0,BGS,H8,BG,BAGS,FOL,FOLIO,MED,MEDIUM,453,M RLX GOLF LIC ACC,NAVY-410,RLZ010NV,ACCESSORIES,NULL,0,NOS2023,NOS,2023,CART POUCH-FOLIO-MEDIUM POLYESTER,SINGLE PRICE,FULLPRICE,ONE SIZE
HMRLBATH8O21513,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,BTW,BATH TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291528,HOME,NULL,0,SPR2022,SPR,2022,O SET 2S TWL SP22 ASSRTD SET #4,SINGLE JAPAN,OUTLET,BATH TOWEL
HMRLBATH8O21516,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,HTW,HAND TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291529,HOME,NULL,0,SPR2022,SPR,2022,O SET 1H1B TWL SP22 ASSRTD SET #5,SINGLE JAPAN,OUTLET,HAND TOWEL
HMRLBATH8O21518,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,WTW,WASH TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291528,HOME,NULL,0,SPR2022,SPR,2022,O SET 2W2H TWL SP22 ASSRTD SET #2,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21521,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291529,HOME,NULL,0,SPR2022,SPR,2022,O SET 7M TWL SP22 ASSRTD SET #13,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21524,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,WTW,WASH TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291530,HOME,NULL,0,SPR2022,SPR,2022,O SET 1W1H1B SP22 ASSRTD SET #21,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21527,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,NAVY-410,60291527,HOME,NULL,0,FAL2022,FAL,2022,O SET 6M TWL RD/ WD/ BD/ BS SET,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21535,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291532,HOME,NULL,0,SPR2022,SPR,2022,O SET 2M2H TWL SP22 ASSRTD SET #36,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21537,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291531,HOME,NULL,0,SPR2022,SPR,2022,O SET 2M2W2H SP22 ASSRTD SET #32,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21543,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,HTW,HAND TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291530,HOME,NULL,0,SPR2022,SPR,2022,O SET 4H TWL SP22 ASSRTD SET #23,SINGLE JAPAN,OUTLET,HAND TOWEL
HMRLBATH8O21546,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291529,HOME,NULL,0,SPR2022,SPR,2022,O SET 6M TWL SP22 ASSRTD SET #12,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21548,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,NATURAL-101,60291527,HOME,NULL,0,FAL2022,FAL,2022,O SET 6M TWL DCY/ INDG/ PFLG,SINGLE JAPAN,OUTLET,WASH CLOTH
HMRLBATH8O21556,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,HTW,HAND TOWEL,602,RL LIC HME,ASSORTED PRE-PACK (SEE TABLE 9,60291531,HOME,NULL,0,SPR2022,SPR,2022,O SET 3H TWL SP22 ASSRTD SET #31,SINGLE JAPAN,OUTLET,HAND TOWEL
HMRLBATH8O21557,0,HM,HM,RL,H,BAT,8O,BA,BATH,BTH,BATH,GTW,GUEST TOWEL,602,RL LIC HME,NAVY-410,60291527,HOME,NULL,0,FAL2022,FAL,2022,O SET 6M TWL RD/ WD/ BD/ RS SET,SINGLE JAPAN,OUTLET,WASH CLOTH
